id,name,date
2289950,Balrogs e-Sport,2018-10-29T23:57:22.000000Z
5136911,China No.1,2014-06-07T08:58:56.000000Z
8106043,Shift,2013-08-06T18:31:16.000000Z
8082167,Unset,2017-03-16T04:55:59.000000Z
7748643,Agua da Cedae,2021-09-30T22:32:47.977Z
7915829,a,2016-05-03T04:13:43.454Z
2639697,Sasssy Cats,2013-11-17T10:35:31.000000Z
2103577,The Thundercats,2017-11-09T03:19:04.758Z
7938030,megasexmachines,2021-05-13T07:16:17.112Z
7300784,twitch,2019-05-24T03:02:11.916Z
7684721,Team Solid,2021-10-17T11:49:35.818Z
4961103,LFT,2018-04-08T19:42:42.241Z
7684886,CubilGolden,2016-11-09T13:15:45.000000Z
7598716,K.O.,2017-02-06T14:02:39.826Z
7683402,Topblaze,2014-08-15T11:32:55.000000Z
7781029,IDK,2021-10-10T05:46:55.925Z
2879409,骨头帮,2014-10-19T14:00:06.000000Z
8261404,.,2021-04-30T18:19:41.165Z
3967527,ISIfather,2011-09-17T11:38:43.000000Z
7683649,THAT'S IT?!,2012-04-20T09:07:59.000000Z
1520578,CDEC ,2015-01-19T09:28:49.000000Z
6662123,Dub Gods,2020-08-04T15:43:04.625Z
7685097,Redpilled Retards,2020-06-26T03:41:09.815Z
8254112,Omega Gaming,2016-10-10T20:02:10.000000Z
8131728,Hokori,2014-04-01T18:16:50.000000Z
5870924,Executioners,2016-03-07T23:00:01.000000Z
7767175,LFT,2018-02-07T09:21:18.565Z
7009130,NFD,2011-01-01T12:10:56.000000Z
6767209,Inverse,2012-01-12T22:46:15.000000Z
7356881,SHENZHEN,2016-03-11T07:51:47.000000Z
6820176,Team Visagerino,2021-04-03T19:19:36.461Z
7653152,No Cure,2011-11-05T05:29:11.000000Z
3689321,  ,2014-10-25T03:16:27.000000Z
5896013,The Prime,2015-03-21T01:27:50.000000Z
7438854,Impetus Esports,2020-09-19T18:14:56.599Z
8062087,Vexxk Gaming,2018-09-02T14:16:52.000000Z
2879870,GGN TEAM,2019-01-18T12:50:52.678Z
8124688,LBZS,2015-02-11T17:20:05.000000Z
5464491,STARLUCK,2011-10-03T10:36:48.000000Z
5229568,Vicious Gaming,2020-09-15T00:59:54.239Z
7529209,No Meta Gaming,2020-01-06T04:20:33.590Z
5407995, keep dream bravely,2010-12-07T03:17:29.000000Z
7999159,NMSL,2015-11-25T16:02:58.161Z
7423953,TEAM GUYS,2012-02-17T04:46:22.000000Z
7220097,Team Vrkolak,2014-08-08T15:06:27.000000Z
7057520,OMEGAEZ,2017-08-24T10:52:26.000000Z
8124991,kekwq,2021-03-11T20:01:14.231Z
7139457,URSOREALLYBAD,2020-08-31T17:56:59.364Z
8253505,One Million,2016-09-24T13:54:39.080Z
6465093,ForTheDream,2015-09-21T19:28:25.000000Z
8590460,Black Ice,2019-02-16T22:54:30.024Z
8597183,Summit Gaming,2015-03-16T10:42:05.000000Z
8119552,123,2014-08-14T03:55:54.000000Z
7119039,Young Drug Gaming,2013-11-06T15:54:36.000000Z
7682417,UNDERGROUND,2011-10-05T13:10:05.000000Z
8215803,Сascade Esports,2021-10-08T09:45:24.836Z
4122483,  ,2017-12-13T06:25:50.384Z
7219525,Hero Gaming,2013-01-18T22:46:05.000000Z
6322636,qwe,2017-06-05T17:27:57.000000Z
